logical_experiment_id	canonical_run_id	physical_runs	topic	status	training_source	truth_used_in_inference	resolution_bp	entrypoint	entrypoint_status	evidence_path	canonical_selection_reason	readme_present	manifest_present	provenance_grade	notes
001	001-20260615_214533-p9016_softall_4m_baseline	001-20260615_214533-p9016_softall_4m_baseline	softall 4 Mb baseline	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_softall_baseline.sh	UNAVAILABLE	/work/phase3/test_res/001-20260615_214533-p9016_softall_4m_baseline	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
002	002-20260616_003319-p9016_softall_4m_1m_200k_chain	002-20260616_003319-p9016_softall_4m_1m_200k_chain	softall 4 Mb to 1 Mb to 200 kb resolution chain	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_softall_resolution_chain.sh	UNAVAILABLE	/work/phase3/test_res/002-20260616_003319-p9016_softall_4m_1m_200k_chain	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
003	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	softall 1 Mb direct GPU baseline	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_softall_baseline.sh	UNAVAILABLE	/work/phase3/test_res/003-20260616_125639-p9016_softall_1m_direct_gpu_baseline	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
004	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	softall 1 Mb direct CPU baseline	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_softall_baseline.sh	UNAVAILABLE	/work/phase3/test_res/004-20260616_123920-p9016_softall_1m_direct_cpu_baseline	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
005	005-20260616_160027-p9016_softall_random_diploid_1m_baseline	005-20260616_160027-p9016_softall_random_diploid_1m_baseline	random diploid 1 Mb initialization baseline	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_softall_baseline.sh	UNAVAILABLE	/work/phase3/test_res/005-20260616_160027-p9016_softall_random_diploid_1m_baseline	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
006	006-20260616_161250-p9016_softall_random_diploid_4m_1m_chain	006-20260616_161250-p9016_softall_random_diploid_4m_1m_chain	random diploid multiresolution chain	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_softall_resolution_chain.sh	UNAVAILABLE	/work/phase3/test_res/006-20260616_161250-p9016_softall_random_diploid_4m_1m_chain	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
007	007-20260616_170329-p9016_anticollapse_sweep	007-20260616_170329-p9016_anticollapse_sweep	anti-collapse sweep	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_anticollapse_sweep.sh	UNAVAILABLE	/work/phase3/test_res/007-20260616_170329-p9016_anticollapse_sweep	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
008	008-20260616_195722-p9016_anticollapse_random_diploid_1m_direct_sweep	008-20260616_195722-p9016_anticollapse_random_diploid_1m_direct_sweep	anti-collapse random-initialization sweep	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_anticollapse_sweep.sh	UNAVAILABLE	/work/phase3/test_res/008-20260616_195722-p9016_anticollapse_random_diploid_1m_direct_sweep	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
009	009-20260616_214737-p9016_softall_200k_direct_gpu_baseline	009-20260616_214737-p9016_softall_200k_direct_gpu_baseline	softall 200 kb direct GPU baseline	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_softall_baseline.sh	UNAVAILABLE	/work/phase3/test_res/009-20260616_214737-p9016_softall_200k_direct_gpu_baseline	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
010	010-20260617_001012-p9016_dscale_sep_sweep	010-20260617_001012-p9016_dscale_sep_sweep	count-to-distance and separation sweep	HISTORICAL	P9016 raw pairs	none	mixed; see run README	UNAVAILABLE: scripts/run_p9016_dscale_sep_sweep.sh	UNAVAILABLE	/work/phase3/test_res/010-20260617_001012-p9016_dscale_sep_sweep	only physical run with this logical identifier	1	1	medium	phase and CHARM/3DG evaluation only
