key	value
run_id	046-smoke-p9016_pair_flip_sync_signal_audit_1m
purpose	post-training raw-only chromosome-pair copy-flip sync signal audit; no retraining
full_run_root	/tmp/hk_blind_test_res_046_smoke/046-smoke-p9016_pair_flip_sync_signal_audit_1m
light_result_root	/mnt/ssd/zliu/phase3/hickit/result/046-smoke-p9016_pair_flip_sync_signal_audit_1m
pairs_path	/shared/zliu/CHARM/CHARM_mesc/data/pairs/P9016.pairs.gz
reference_3dg_path	/shared/zliu/CHARM/CHARM_mesc/data/tdg/P9016.1m.3dg.gz
bin_size_bp	1000000
split_seed	17
max_parallel	1
git_commit	1037ee5f79d54e943eef5c37e5aeb2d841698cb8
git_dirty_count	107
training_boundary	no training is run here; source runs must be raw_pairs blind training
selector_boundary	raw_* policies select chromosome-pair swaps from posterior bpair weights and reconstruction geometry only; SNP labels and CHARM/3DG enter only after selection for scoring and denominator matching
copy_swap_policy	copy0/copy1 are gauge labels; cis SNP gauge is eval-only and pair flips are diagnostic
