key	value
run_id	019-20260618_224526-p9016_copytrack_continuity_1m
full_run_root	/tmp/hk_blind_test_res_019_smoke/019-20260618_224526-p9016_copytrack_continuity_1m
light_result_root	/mnt/ssd/zliu/phase3/hickit/result/019-20260618_224526-p9016_copytrack_continuity_1m
git_commit	1037ee5f79d54e943eef5c37e5aeb2d841698cb8
git_dirty_count	30
run_blind_p9016_minimal_sha256	7c4fc219ea7c722bd132164b7f4e7a48fe4cdf45cae31e682ab56c8c586f4ded
audit_blind_p9016_full_cpu_output_sha256	90895188571ae6995bdd137b66e2d02461069363a7d2340b4c5a6d267e2ecbf8
pairs	testdata/p9016_blind_smoke.pairs
eval_pairs	testdata/p9016_blind_smoke.pairs
eval_tdg	/shared/zliu/CHARM/CHARM_mesc/data/tdg/P9016.1m.3dg.gz
backend	cpu
bin_size_bp	1000000
n_iter	1
relax_steps	1
relax_step	0.012
max_parallel	2
start_time	2026-06-18T22:45:26+08:00
