key	value
run_id	018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m
full_run_root	/mnt/ssd/zliu/phase3/test_res/018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m
light_result_root	/mnt/ssd/zliu/phase3/hickit/result/018-20260618_220644-p9016_fixed_posterior_graph_semantics_1m
source_dir	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/work_outputs/1pr/p9016_charm3dg20k_1pr_pcgamma1_common_msep1p5_lsep1/p9016_charm3dg20k_1pr_pcgamma1_common_msep1p5_lsep1
source_eval_dir	/mnt/ssd/zliu/phase3/test_res/016-20260618_150851-p9016_charm_contacts_condition_sweep_1m/eval/1pr/p9016_charm3dg20k_1pr_pcgamma1_common_msep1p5_lsep1
git_commit	1037ee5f79d54e943eef5c37e5aeb2d841698cb8
git_dirty_count	24
binary_hash	e5b68fa9d0c4aa9d4f2bcd6826852153274e53e849adf2dd0ec084cf3f6f4621
experiment_type	fixed_posterior_graph_semantics
training_boundary	reference_derived_positive_control_not_blind
