key	value
bin_size_bp	1000000
boost_copies	2
eligible_trans_bpairs	0
extra_copies_written	0
input_cis_pairs	8
input_pairs	8
input_trans_pairs	0
method	blind_posterior_confidence_trans_boost
min_margin	0
min_pmax	0
out_pairs	/tmp/hk_blind_test_res_031_smoke/031-20260619_105603-p9016_confidence_boost_pairs_1m/generated_pairs/p9016_confboost_pmax_margin_top0p01_b2.pairs.gz
output_pairs	8
pairs	testdata/p9016_blind_smoke.pairs
phase_mode	dot
posterior	/tmp/hk_blind_test_res_031_smoke/031-20260619_105603-p9016_confidence_boost_pairs_1m/outputs/p9016_pcgamma1_approved_baseline_ieps0p5_noise0_seed17/p9016_full.bpair_posterior.tsv
posterior_trans_bpairs	0
score_mode	pmax_margin
score_threshold	NA
selected_margin_min	NA
selected_n_raw_sum	0
selected_pmax_min	NA
selected_score_max	NA
selected_score_min	NA
selected_trans_bpairs	0
selected_trans_raw_pairs	0
trans_top_frac	0.01
uses_charm_or_reference_for_training	0
uses_phase_labels_for_training	0
